company,drug,streak,start,end,reasons,color,,,,,,,,,,,,,,
Amphastar,epinephrine,1,8/7/10,8/15/10,Demand increase,orange,Unanticipated increased demand,,,,,,,,,,,,,
Amphastar,epinephrine,2,9/14/10,12/19/10,Demand increase,orange,Unanticipated increased demand,,,,,,,,,,,,,
Amphastar(IMS),epinephrine,1,8/20/10,8/28/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Hospira,epinephrine,1,6/11/10,12/19/10,Demand increase,orange,Unanticipated increased demand;Unanticipated Increased Demand,,,,,,,,,,,,,
Epogen(Amgen),epoetin,1,10/9/10,12/19/10,Available,red,Centocor Ortho Biotech reports that short-term availability of the 2,4,000 unit and the 40,000 unit PROCRIT vials may be limited.----Amgen does not anticipate a disruption in the availability of EPOGEN for patients.-- --For additional information see Related Information section.-- ,,,,,,,,,,
Procrit(Centocor),epoetin,1,10/9/10,12/19/10,Available,red,Centocor Ortho Biotech reports that short-term availability of the 2,4,000 unit and the 40,000 unit PROCRIT vials may be limited.----Amgen does not anticipate a disruption in the availability of EPOGEN for patients.-- --For additional information see Related Information section.-- ,,,,,,,,,,
BauschLomb,erythromycin,1,8/14/09,2/20/10,Demand increase,orange,Increase in demand.;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Product delays;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Production delays;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Production delays;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Fera Pharmaceuticals has begun shipping Erythromycin Ophthalmic Ointment,,,,,,,,,,,,,
Fera,erythromycin,1,8/30/09,2/20/10,Demand increase,orange,Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Product delays;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Production delays;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Production delays;Increase in demand.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Fera Pharmaceuticals has begun shipping Erythromycin Ophthalmic Ointment,,,,,,,,,,,,,
Hospira,erythromycin,1,10/26/10,4/22/11,Manufacturing delays,,Manufacturing delays,,,,,,,,,,,,,
Guerbet,ethiodol,1,5/15/10,4/22/11,Discontinued,,Product has been discontinued by Nycomed US Inc.,,,,,,,,,,,,,
Nycomed,ethiodol,1,3/19/10,5/8/10,Discontinued,,Product has been discontinued.,,,,,,,,,,,,,
APP,etoposide,1,9/14/10,4/7/11,Demand increase; Manufacturing delays,orange,Increased demand-- ---- ----Manufacturing delays-- ----Manufacturing delays-- ----Increased demand-- ,,,,,,,,,,,,,
APP,etoposide,2,4/22/11,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand                           --             --             --             --                           --             Manufacturing delays--             --             --             --                           --             --             --             --             --             Manufacturing delays                           --             --             --             --             --             Increased demand,,,,,,,,,,,,,
BMS,etoposide,1,9/14/10,4/7/11,Demand increase; Manufacturing delays,orange,Increased demand-- ---- ----Manufacturing delays-- ----Manufacturing delays-- ----Increased demand-- ,,,,,,,,,,,,,
Bedford,etoposide,1,9/14/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand-- ---- ----Manufacturing delays-- ----Manufacturing delays-- ----Increased demand-- ;Increased demand--             --            ----            ----            ----            ----             --            ----            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            ----            Manufacturing delays--             --            ----            ----            ----            ----            ----            Increased demand;Increased demand                           --             --             --             --                           --             Manufacturing delays--             --             --             --                           --             --             --             --             --             Manufacturing delays                           --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Teva,etoposide,1,9/14/10,4/7/11,Demand increase; Manufacturing delays,orange,Increased demand-- ---- ----Manufacturing delays-- ----Manufacturing delays-- ----Increased demand-- ,,,,,,,,,,,,,
Teva,etoposide,2,4/22/11,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand                           --             --             --             --                           --             Manufacturing delays--             --             --             --                           --             --             --             --             --             Manufacturing delays                           --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Genzyme,fabrazyme,1,8/26/09,4/22/11,Demand increase; Manufacturing delays,,Manufacturing delays---- ;Manufacturing delays-- ;Manufacturing delays--             ;Manufacturing delays              ,,,,,,,,,,,,,
AstraZeneca,faslodex,1,8/6/09,10/30/09,X,,Supply constraints,,,,,,,,,,,,,
ActavisTotowa,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
Apotex,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
Covidien,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
Mylan,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
Novaplus,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
OrthoMcNeilJanssen,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
Sandoz,fentanyl,1,4/22/11,4/22/11,Manufacturing issues,,Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Not Applicable; Capable of Supplying 100 % of Market Demand--             --             --             --             --             --             --             --             --             --             --             --             N/A--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             N/A--N/A,,,,,,,,,,,,,
Amphastar,foscarnet,1,8/20/10,8/28/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Hospira,foscarnet,1,8/7/10,4/22/11,Demand increase; Manufacturing delays,orange,Manufacturing delays;Unanticipated Increased Demand,,,,,,,,,,,,,
APP,fosphenytoin,1,4/15/10,4/22/11,Demand increase; Manufacturing delays,orange,Not currently marketed.---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ----Increase in demand.---- ;Not currently marketed.---- ---- ---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ---- ----Increase in demand.---- ;Not currently marketed.-- -- ------------Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- -- -- -- -- -- ----Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- --Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand----Newly launched product ;Not currently marketed--             --            ----            Manufacturing delays--             --            ----            Not currently marketed--             --            ----            Increase in demand--            ----            ----            ----            Increased demand--            ----            ----            ----            ----            ----            ----            Newly launched product ;Not currently marketed                           --             Manufacturing delays                           --             Not currently marketed                           --             Increase in demand             --             --             --             Increased demand             --             --             --             --             --             --             Newly launched product ,,,,,,,,,,,,,
Akorn,fosphenytoin,1,4/15/10,4/22/11,Demand increase; Manufacturing delays,orange,Not currently marketed.---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ----Increase in demand.---- ;Not currently marketed.---- ---- ---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ---- ----Increase in demand.---- ;Not currently marketed.-- -- ------------Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- -- -- -- -- -- ----Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- --Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand----Newly launched product ;Not currently marketed--             --            ----            Manufacturing delays--             --            ----            Not currently marketed--             --            ----            Increase in demand--            ----            ----            ----            Increased demand--            ----            ----            ----            ----            ----            ----            Newly launched product ;Not currently marketed                           --             Manufacturing delays                           --             Not currently marketed                           --             Increase in demand             --             --             --             Increased demand             --             --             --             --             --             --             Newly launched product ,,,,,,,,,,,,,
AmericanRegent,fosphenytoin,1,2/2/11,4/22/11,Demand increase; Manufacturing delays,orange,Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand----Newly launched product ;Not currently marketed--             --            ----            Manufacturing delays--             --            ----            Not currently marketed--             --            ----            Increase in demand--            ----            ----            ----            Increased demand--            ----            ----            ----            ----            ----            ----            Newly launched product ;Not currently marketed                           --             Manufacturing delays                           --             Not currently marketed                           --             Increase in demand             --             --             --             Increased demand             --             --             --             --             --             --             Newly launched product ,,,,,,,,,,,,,
Bedford,fosphenytoin,1,4/15/10,4/22/11,Demand increase; Manufacturing delays,orange,Not currently marketed.---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ----Increase in demand.---- ;Not currently marketed.---- ---- ---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ---- ----Increase in demand.---- ;Not currently marketed.-- -- ------------Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- -- -- -- -- -- ----Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- --Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand----Newly launched product ;Not currently marketed--             --            ----            Manufacturing delays--             --            ----            Not currently marketed--             --            ----            Increase in demand--            ----            ----            ----            Increased demand--            ----            ----            ----            ----            ----            ----            Newly launched product ;Not currently marketed                           --             Manufacturing delays                           --             Not currently marketed                           --             Increase in demand             --             --             --             Increased demand             --             --             --             --             --             --             Newly launched product ,,,,,,,,,,,,,
Hospira,fosphenytoin,1,4/15/10,4/22/11,Demand increase; Manufacturing delays,orange,Not currently marketed.---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ----Increase in demand.---- ;Not currently marketed.---- ---- ---- ----Manufacturing delays.---- ---- ----Not currently marketed.---- ---- ----Increase in demand.---- ;Not currently marketed.-- -- ------------Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- -- -- -- -- -- ----Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed.-- --Manufacturing delays.-- --Not currently marketed.-- -- --Increase in demand.-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand----Newly launched product ;Not currently marketed--             --            ----            Manufacturing delays--             --            ----            Not currently marketed--             --            ----            Increase in demand--            ----            ----            ----            Increased demand--            ----            ----            ----            ----            ----            ----            Newly launched product ;Not currently marketed                           --             Manufacturing delays                           --             Not currently marketed                           --             Increase in demand             --             --             --             Increased demand             --             --             --             --             --             --             Newly launched product ,,,,,,,,,,,,,
WestWard,fosphenytoin,1,11/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand-- ;Not currently marketed-- ----Manufacturing delays-- ----Not currently marketed-- ----Increase in demand----Increased demand----Newly launched product ;Not currently marketed--             --            ----            Manufacturing delays--             --            ----            Not currently marketed--             --            ----            Increase in demand--            ----            ----            ----            Increased demand--            ----            ----            ----            ----            ----            ----            Newly launched product ;Not currently marketed                           --             Manufacturing delays                           --             Not currently marketed                           --             Increase in demand             --             --             --             Increased demand             --             --             --             --             --             --             Newly launched product ,,,,,,,,,,,,,
APP,furosemide,1,6/25/10,8/15/10,Demand increase; Manufacturing delays,orange,Manufacturing delays---- ---- ---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing delays---- ---- ---- ----Increase in demand---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing delays-- -- -- --Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand,,,,,,,,,,,,,
APP,furosemide,2,9/14/10,4/22/11,Demand increase; Manufacturing delays,orange,Manufacturing delays-- -- -- ----Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand;Manufacturing delays--             --             --             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --            Increase in demand;Manufacturing delays                                                       --             --             --             --             --             --             --             --             --             --             Increase in demand                                                                                                                                                                                                                                             Increase in demand,,,,,,,,,,,,,
AmericanRegent,furosemide,1,6/25/10,8/15/10,Demand increase; Manufacturing delays,orange,Manufacturing delays---- ---- ---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing delays---- ---- ---- ----Increase in demand---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing delays-- -- -- --Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand,,,,,,,,,,,,,
AmericanRegent,furosemide,2,9/14/10,4/22/11,Demand increase; Manufacturing delays,orange,Manufacturing delays-- -- -- ----Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand;Manufacturing delays--             --             --             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --            Increase in demand;Manufacturing delays                                                       --             --             --             --             --             --             --             --             --             --             Increase in demand                                                                                                                                                                                                                                             Increase in demand,,,,,,,,,,,,,
Amphastar,furosemide,1,8/20/10,8/28/10,Demand increase,orange,Unanticipated increased demand,,,,,,,,,,,,,
Hospira,furosemide,1,6/25/10,4/22/11,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing delays---- ---- ---- ----Increase in demand---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing delays-- -- -- --Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand;Unanticipated increased demand;Manufacturing delays-- -- -- ----Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand;Manufacturing delays--             --             --             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --            Increase in demand;Manufacturing delays                                                       --             --             --             --             --             --             --             --             --             --             Increase in demand                                                                                                                                                                                                                                             Increase in demand,,,,,,,,,,,,,
Camber,gemfibrozil,1,5/27/10,6/20/10,Demand increase,orange,Increase in demand---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ----Change awaiting FDA approval,,,,,,,,,,,,,
Pfizer,gemfibrozil,1,5/27/10,6/20/10,Demand increase,orange,Increase in demand---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ----Change awaiting FDA approval,,,,,,,,,,,,,
Teva,gemfibrozil,1,5/27/10,6/20/10,Demand increase,orange,Increase in demand---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ----Change awaiting FDA approval,,,,,,,,,,,,,
Camber,gemifibrozil,1,3/12/10,5/21/10,Demand increase,orange,Increase in demand---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ----Change awaiting FDA approval,,,,,,,,,,,,,
Pfizer,gemifibrozil,1,3/12/10,5/21/10,Demand increase,orange,Increase in demand---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ----Change awaiting FDA approval,,,,,,,,,,,,,
Teva,gemifibrozil,1,3/12/10,5/21/10,Demand increase,orange,Increase in demand---- ---- ---- ---- ----Increase in demand---- ---- ---- ---- ----Change awaiting FDA approval,,,,,,,,,,,,,
Bedford,gluca,1,10/19/10,3/14/11,Manufacturing delays,,----Manufacturing delays-- --Manufacturing delays-- ;----Manufacturing delays-- ----Manufacturing delays-- ,,,,,,,,,,,,,
EliLilly,gluca,1,10/19/10,3/14/11,Manufacturing delays,,----Manufacturing delays-- --Manufacturing delays-- ;----Manufacturing delays-- ----Manufacturing delays-- ,,,,,,,,,,,,,
NovoNordisk,gluca,1,10/19/10,3/14/11,Manufacturing delays,,----Manufacturing delays-- --Manufacturing delays-- ;----Manufacturing delays-- ----Manufacturing delays-- ,,,,,,,,,,,,,
APP,haloperidol,1,6/20/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
APP,haloperidol,2,9/14/10,4/22/11,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- --See Related Information-- -- -- ----See Related Information-- -- -- -- -- -- ----Manufacturing delays;Manufacturing delays--             --             --            See Related Information--             --             --             --            ----            ----            ----            See Related Information--             --             --             --             --             --             --            ----            ----            ----            ----            Manufacturing delays;Manufacturing delays                                         See Related Information                                                       --             --             --             See Related Information                                                                                                 --             --             --             --             Manufacturing delays,,,,,,,,,,,,,
Bedford,haloperidol,1,6/20/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
Bedford,haloperidol,2,9/14/10,4/22/11,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- --See Related Information-- -- -- ----See Related Information-- -- -- -- -- -- ----Manufacturing delays;Manufacturing delays--             --             --            See Related Information--             --             --             --            ----            ----            ----            See Related Information--             --             --             --             --             --             --            ----            ----            ----            ----            Manufacturing delays;Manufacturing delays                                         See Related Information                                                       --             --             --             See Related Information                                                                                                 --             --             --             --             Manufacturing delays,,,,,,,,,,,,,
Hospira,haloperidol,1,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays,,,,,,,,,,,,,
OrthoMcNeilJanssen,haloperidol,1,6/20/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
OrthoMcNeilJanssen,haloperidol,2,9/14/10,4/22/11,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- --See Related Information-- -- -- ----See Related Information-- -- -- -- -- -- ----Manufacturing delays;Manufacturing delays--             --             --            See Related Information--             --             --             --            ----            ----            ----            See Related Information--             --             --             --             --             --             --            ----            ----            ----            ----            Manufacturing delays;Manufacturing delays                                         See Related Information                                                       --             --             --             See Related Information                                                                                                 --             --             --             --             Manufacturing delays,,,,,,,,,,,,,
Teva,haloperidol,1,6/20/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ----See Related Information---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
Teva,haloperidol,2,9/14/10,4/22/11,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- --Manufacturing delays;Manufacturing delays-- -- --See Related Information-- -- -- ----See Related Information-- -- -- -- -- -- ----Manufacturing delays;Manufacturing delays--             --             --            See Related Information--             --             --             --            ----            ----            ----            See Related Information--             --             --             --             --             --             --            ----            ----            ----            ----            Manufacturing delays;Manufacturing delays                                         See Related Information                                                       --             --             --             See Related Information                                                                                                 --             --             --             --             Manufacturing delays,,,,,,,,,,,,,
Baxter,heparin,1,6/6/09,9/6/09,Product recall,green,Product recall,,,,,,,,,,,,,
